seed,eval,time,numEvals,ind
9,9.911215,4542,1050001,"1.595775854295924,1.526709603874046,2.952243137991820,2.221979516576108,1.935249925704808,0.664804344099904,0.501217078148333,0.523974834785348,0.541096933862964,0.944051985206120,0.632820497528145,0.100000000000000,18.998300838457037,4.181295292562225,17.714477439421674,4.643649200694616,14.750880755797696,23.970309560243759,24.416575933842420,9.911215333193251"
18,9.343706,4555,1050001,"1.346031456666435,2.138125891710823,2.881281115556729,3.484923185985686,2.367473612067314,0.486750865161174,0.466276045707892,0.485187312834388,0.599559495922050,0.291875489534675,0.408734758074243,1.000000000000000,3.196058122902575,9.341400251479498,22.675069814503537,15.531352247915549,3.357246150342886,18.587768915785975,21.655946999046104,9.343706316002599"
20,7.780185,4563,1050001,"1.670172201832845,2.107322202873284,3.046641636910664,2.989226713303823,3.947624109586356,0.650042721999807,0.525707333401845,0.465869736502010,0.593929383712467,0.651149120760444,0.133329878614682,0.933695772103094,15.460507836455677,9.415969711837615,19.107017778566429,21.465460648620176,19.956983443239508,24.181155742236107,6.014987644949627,7.780184800517703"
16,6.958099,4589,1050001,"1.444211941929705,2.285133451483974,3.314176761778321,2.321194003632011,4.811069566952577,0.692456569734801,0.560988372910604,0.446468639375259,0.604144510019884,0.582228194073102,0.127709357244142,1.000000000000000,13.939199847909637,24.822435140978722,24.646761518170368,7.269726847505944,12.669432991422850,10.530054577163534,3.073252483030315,6.958099175613138"
2,10.310864,4594,1050001,"1.209366312958109,2.127838517779887,2.934628965887394,1.567674467584500,2.766685362170054,0.473233395053684,0.528019375418701,0.420837424301272,0.570356995745298,0.822567175301909,0.934459294677666,0.112391395405430,4.380374027593094,12.805097473496044,10.501939704021596,22.165320042713496,20.693398074729490,22.317772802927382,12.682635134090824,10.310863799335843"
28,9.305204,4594,1050001,"1.586545195321032,1.667206403057561,2.965991547642919,2.047291296926436,2.711328301804563,0.582759934420858,0.506637388182535,0.455409104069713,0.581338897226076,0.725003115163007,0.853792060999105,0.100000000000000,21.138217161377077,4.148272179991110,23.233767818015358,14.544132483877234,6.345942673896429,7.806848779475213,16.440377038990842,9.305203749400190"
29,8.114095,4620,1050001,"1.460085505704569,2.481426946792427,0.369265049357225,3.507002322653246,3.815098823934150,0.722659437690081,0.565112708844809,0.330351850797470,0.718401541521240,1.000000000000000,0.592020635114949,0.100000000000000,12.380624999010054,10.552744564881141,3.808229827628673,17.896630836202753,5.174330767461383,15.813330650927255,10.455796572930635,8.114094683671511"
24,7.995140,4634,1050001,"1.663125297377635,2.147798167952597,3.142855768886057,2.607265049445396,2.618083233258385,0.668040850325529,0.522456886586616,0.462895970285233,0.534179355827987,0.514563240748369,0.803251866427961,0.100000000000000,18.877991789772249,24.820990596965359,22.583115442314618,11.105724744348689,6.477495140472303,2.788992006070615,5.723392858452251,7.995140468268548"
4,8.190882,4645,1050001,"1.438001033322294,2.256553720021551,3.280576217589434,2.927330138062616,3.478664441001695,0.571455866346588,0.490282435970262,0.481998695427496,0.573474048766623,0.640923530894736,0.315011598999140,0.955305501715213,5.141413324612642,23.520676986652258,22.935246349454299,18.615033746829915,12.553303133193466,20.731457232110560,4.273944288521842,8.190882067617268"
17,9.593873,4705,1050001,"1.531144707112160,2.160331031865788,2.637116505508716,2.752192283672311,1.854925918885193,0.699916123196672,0.544317020142926,0.464956314239571,0.557989650484865,0.992652467304827,0.488005304631470,0.114347187454026,12.292513320522861,16.211339992304115,16.116900497602095,24.343336044874149,22.327579451364009,19.652180558060077,1.506414116597640,9.593872748149037"
