seed,eval,time,numEvals,ind,tau0,tau1,tau2,tau3,tau4,tau5,tau6,tau7,tau8,tau9,k0,k1,k2,k3,k4,k5,k6,k7,k8,k9,k10,k11,k12,k13,k14,n0,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12,n13,n14
19,13.672308,27823,1050006,1.236909103228808,1.370838293931795,1.341053385766583,0.983019641272580,1.249107992125309,1.484426135428269,1.762671779814537,1.931719774863186,4.207094510425217,4.961700770716216,0.418649090039868,0.591972641262665,0.999999985915308,0.803449291582402,0.670421716537104,0.510386986112544,0.411146699677933,0.616020592529372,0.521468895294158,0.530330362637510,0.615972093384248,0.580637707435055,0.534508763355552,0.305439953695388,0.269902615582545,12.999934292395783,6.609388655107459,12.428958448671046,14.000216193066140,3.050537942413184,2.073507327816697,10.957499135524290,8.121745613283271,18.729759541837015,13.981860755637733,7.460846591558629,15.596575547793133,23.950486526817456,5.262416847473359,13.000132818173055,13.672307605891653
8,13.922355,27914,1050006,1.114847810110276,1.302440702735331,1.718033383833031,1.000176897212516,1.013473363821182,1.355267122783906,1.788048745941857,1.764590879121355,4.988931737216008,4.772653491973413,0.402044391865176,0.536073504890070,0.519672644273898,0.524718916051267,0.608636087542600,0.564236604024904,0.376605840414108,0.611484808553536,0.827593307273703,0.999078095605826,0.622508591587617,0.539657633149305,0.456470148448057,0.335846790304575,0.312908844881744,9.114264141426023,5.491593881095295,18.644446681581822,22.807756516932084,7.666831336346682,2.655225238014341,6.494921717704120,7.510072580947608,24.741101391005450,10.824954439638831,6.520445100873497,6.628276739786730,10.086310383293442,16.746614149776522,12.808257450095654,13.922354876732432
14,13.761851,28042,1050006,1.322606597661113,1.381500997646867,1.849639418761456,0.906941134076275,1.184204555743711,1.378014251543469,2.023231890279977,1.840889220976879,4.890144355044597,4.999999994323720,0.422966380562970,0.559355450242060,0.818665629030346,0.999999999402000,0.649949396157315,0.520867699909498,0.402447839513073,0.611107539839427,0.919386725174426,0.965026056443016,0.647450517041396,0.552440325153690,0.504884216698760,0.273947460040738,0.299979097517815,22.949040777074024,6.011773494243249,9.893878381978652,7.384206882082295,7.661079383613438,2.449687968710762,8.122069874169998,6.272131762935918,13.749649232536150,7.138346541328456,9.525629629004377,7.958668879634955,22.967046552606220,24.026980480150402,16.497367563864173,13.761850603171183
4,14.056090,28120,1050005,1.259781087516826,1.435648836362270,2.026295871214261,0.923300219441622,1.177439446416645,1.318529979826096,1.855798150181963,1.919162682001912,4.024098858065973,4.649116233309036,0.421743617332654,0.567756579674467,0.637204851319171,0.686186414055716,0.661532473990903,0.463153018333938,0.404279403181316,0.607688200651165,0.935514054877367,0.777823247370886,0.694063763366199,0.546543901608263,0.452744699399524,0.309485923629019,0.268737636406349,13.742045557643990,6.945524870011035,14.775544041509032,21.034839511406783,15.740304222626292,2.847701901364666,8.115002771114561,5.803799341867407,4.068651487741036,7.061993950393402,14.769678645229003,8.038467107712261,5.036844563347447,19.940973458055289,5.899818157192362,14.056090291395886
23,13.647085,28179,1050006,1.281357954951327,1.390937557459352,1.541651956766522,0.914310650358878,1.317650499494796,1.487109647108551,1.865705488572297,1.900990913580854,4.684402802634315,4.953295935972214,0.439545251394366,0.607318987024591,0.901372087710965,0.929956780765505,0.638499807518333,0.440466229230289,0.436733609407021,0.619808665412138,0.723443419344970,0.735016382171743,0.630233525164966,0.556046232134437,0.530225367910860,0.132881157189720,0.284823074395670,15.186752896218333,6.807873243091609,5.892697298850090,8.075313622353240,4.707487302293172,2.383856213082737,14.149960776982005,7.582468234429143,11.128730583648151,21.264566992000688,8.530056735285430,8.497080188278792,12.582379474655512,9.257779030130331,7.598018367184650,13.647085089230158
16,13.901592,28385,1050006,1.090311942571313,1.885246906964943,0.912357736761456,0.888138924185592,1.172974612497193,1.689288693663712,1.757600771835067,1.838036515811525,4.306604701251081,4.897026495918298,0.405666944714216,0.636206869394458,0.681236728492653,0.999999325019258,0.999998747306459,0.450419186744952,0.403784843842539,0.624735090869615,0.812375964260294,0.999999798209778,0.610407852721489,0.519936172414348,0.487630517780568,0.350572725424550,0.283020094104602,9.977777549702370,14.540552666486393,7.160732845588018,25.000000000000000,1.383086636481007,2.272181503303643,9.988233560775828,9.403586315447695,9.036170418274444,11.077696703515000,5.984492610387846,9.001619573329453,21.999622934724968,10.385381525632425,20.691311087547095,13.901591760014055
17,13.713081,28564,1050003,1.295212932748833,1.509195875961327,2.047578922413010,0.792654414755537,1.290134503283784,1.481845093753251,1.853408672956432,1.665258619989982,4.641975706027223,4.999999854100441,0.429436145306462,0.619623061036398,0.657141907028233,0.673977906232615,0.667598417217334,0.399886370397032,0.426470638668972,0.622732922699792,0.803491504931026,1.000000000000000,0.646901700016463,0.496174305425153,0.529314076662882,0.252060595027461,0.287695267197167,16.688859931362010,7.165722229326567,18.698249510283119,10.065404715716629,21.296377279519401,2.436790653792487,12.550112600675523,6.177922773629791,8.545394852728403,11.965322641302224,7.850382853261432,5.054732055181574,13.804587455584648,14.967595938139568,14.565457605806496,13.713081145920964
20,14.264067,28584,1050007,0.879261677560374,1.176469767883503,2.070369205048109,1.249145744144195,1.040726532115971,1.235746125341260,1.808923992901274,2.215495019101973,4.999999997110575,4.781041617470738,0.377492206973050,0.562444723670422,0.662155064552845,0.706060171879587,0.606219300252119,0.599381097847472,0.380616558273462,0.530088166191823,0.999999998120624,0.841494186688686,0.560148564420837,0.591529422525419,0.415189530992306,0.362484803223968,0.328297941100130,6.832647656575436,5.114640438768683,13.513232264648618,11.825308782188491,19.510568491172403,3.394099113228341,7.273347141992097,5.805512322519686,6.257778452211574,20.720104507121583,5.334492127167322,15.441923268303851,20.278878155141903,13.619324801771290,16.662552335299949,14.264067370022202
6,14.079200,28696,1050007,1.336164751450638,1.397709992435507,1.317916062328126,0.923250752195473,1.306524459850988,1.518807751926876,1.323099219810418,2.201916312943751,4.802257185707526,1.374096879166049,0.497803137182531,0.556960344030626,0.999994134997221,0.786553211124332,0.664708026866818,0.512974901613034,0.466861302236036,0.623025726923306,0.999997238992156,0.784346405180694,0.663331199162799,0.590132942007581,0.243332202300401,0.593067765159226,0.173008361348804,15.870652257693304,5.156616174849308,24.582388640787460,17.556774625260196,3.511326622892292,2.073980577577620,9.085754090979433,7.987829747033855,14.380093106551436,24.288645224941159,3.909364812124388,24.595645842268638,8.878420208187687,20.162651911722520,1.649726957715088,14.079199923619484
2,14.280152,28705,1050004,1.233026499597213,1.334852814337334,1.848726111777291,1.351274502023398,1.280619941257610,1.118648451814652,2.049914031300463,2.213929275752825,4.109472567577326,4.963910612089260,0.417105928514384,0.596064055784116,0.517027080663282,0.556135520525637,0.614018673858717,0.664163043535574,0.413849500364489,0.576745138220419,0.671915651422700,0.718572343129791,0.661292064966627,0.605503578845574,0.490181301073320,0.375787339856254,0.271822461713843,11.707436939830044,6.747746183717517,20.380244453283108,16.656819816436140,9.460653372382214,4.387522006128682,11.500395733944904,6.156186710295153,12.197854311867450,14.228202215644978,19.917391667885759,11.332381716378089,12.117205712818003,8.201737646707179,13.199418621706181,14.280151550953986
